,Full name,Description,Language,Topics,Number of stars
16,kamyu104/LeetCode-Solutions,🏋️ Python / Modern C++ Solutions of All 2127 LeetCode Problems (Weekly Update),C++,"['leetcode', 'python', 'cpp', 'algorithm', 'data-structure', 'cpp11', 'leetcode-solutions', 'interview-questions', 'interview-preparation', 'interview-practice', 'leetcode-cpp', 'modern-cpp', 'leetcode-python']",2822
17,SharingSource/LogicStack-LeetCode,公众号「宫水三叶的刷题日记」刷穿 LeetCode 系列文章源码,,"['leetcode', 'algorithm', 'offer', 'interview-questions', 'interview-practice', 'programmers']",2438
18,forthespada/InterviewGuide,"「InterviewGuide」一个收录优质计算机校招、社招面试常见面试题的仓库🔥🔥，以前叫做《逆袭进大厂》。目前已收录 C/C++ 、操作系统、数据结构、计算机网络、MySQL、Redis等面试资料,未来打算继续收录Java、Python、Go等面试常见问题，坚持将此仓库维护下去。",,"['cpp', 'java', 'os', 'interview', 'interview-questions', 'interview-preparation', 'redis', 'mysql', 'system', 'questions-and-answers', 'guide', 'data-structures-and-algorithms', 'interview-practice', 'pdf', 'code']",2143
19,joowani/binarytree,Python Library for Studying Binary Trees,Python,"['python', 'python3', 'python2', 'python-3', 'python-2', 'python-library', 'binary-trees', 'binary-tree', 'interview-practice', 'interview', 'learning', 'practise', 'algorithm', 'data-structures', 'data-structure', 'heap', 'heaps', 'bst', 'binary-search-tree']",1698
20,Awesome-Interview/Awesome-Interview,Collection of awesome interview references.,,"['interview', 'interview-preparation', 'interview-practice', 'interviews', 'interview-prep', 'backend', 'frontend', 'cpp', 'java', 'python', 'machine-learning', 'deep-learning', 'ios', 'android']",1685
21,alexgurr/react-coding-challenges,A series of ReactJS coding challenges with a variety of difficulties. ,SCSS,"['coding-challenges', 'javascript', 'react', 'reactjs', 'app', 'interview-practice', 'interview', 'react-coding-challenges', 'challenge', 'interviews', 'exercises', 'candidates']",1668
22,FreeTymeKiyan/LeetCode-Sol-Res,"Clean, Understandable Solutions and Resources for LeetCode Online Judge Algorithm Problems. ",Java,"['leetcode', 'java', 'review', 'interview', 'coding-interviews', 'interview-questions', 'interview-practice', 'interview-preparation', 'algorithm', 'algorithms']",1649
23,mre/the-coding-interview,"Programming exercises, code katas and puzzles for your job interview training - or just for fun.",Python,"['interview-practice', 'interview-test-task', 'language-learning', 'coding-interview']",1431
24,puncsky/system-design-and-architecture,Learn how to design large-scale systems. Prep for the system design interview.,,"['architecture', 'interview', 'design', 'design-patterns', 'web', 'interview-questions', 'interview-practice', 'development', 'design-system', 'system-design']",1390
25,yuzhoujr/leetcode,👏🏻 leetcode solutions for Humans™,Python,"['leetcode', 'algorithm', 'google', 'python', 'interview', 'interview-questions', 'interview-practice', 'interview-preparation', 'interview-test', 'algorithms', 'algorithm-challenges', 'algorithms-datastructures', 'algiorithimcs', 'algorithms-and-data-structures', 'algorithm-competitions', 'leetcode-solutions', 'leetcode-python', 'python-leetcode']",1238
26,arpankg/ctci-python-solutions,Cracking the Coding Interview in Python 3. The solutions all have detailed explanations with visuals.,,"['cracking-the-coding-interview', 'interview-questions', 'interview-preparation', 'interview-practice', 'python3', 'python', 'gayle-laakmann-mcdowell']",1060
27,marcosfede/algorithms,Solved algorithms and data structures problems in many languages,Python,"['algorithm', 'python', 'ruby', 'golang', 'go', 'javascript', 'competitive-programming', 'data-structures', 'interview', 'interview-practice', 'language', 'bfs', 'heap', 'graph', 'hacktoberfest']",1048
28,liuyubobobo/Play-with-Algorithm-Interview,Codes of my MOOC Course <Play with Algorithm Interviews>. Updated contents and practices are also included. 我在慕课网上的课程《玩儿转算法面试》示例代码。课程的更多更新内容及辅助练习也将逐步添加进这个代码仓。,C++,"['algorithms', 'interview-questions', 'interview-practice', 'leetcode', 'imooc', 'mooc']",1029
29,bcherny/frontend-interview-questions,Answers for https://performancejs.com/post/hde6d32/The-Best-Frontend-JavaScript-Interview-Questions-(Written-by-a-Frontend-Engineer),JavaScript,"['javascript', 'interview-questions', 'interview-practice', 'frontend']",953
30,connor11528/cs-fundamentals,🎓 Data structures and algorithms ,JavaScript,"['interview-questions', 'coding-interviews', 'interview-practice', 'interview', 'programming-challenge', 'programming-challenges', 'interview-preparation', 'interviews', 'coding-challenge', 'coding-challenges', 'coding-interview', 'codingame', 'coding', 'interview-prep', 'programming', 'job-board', 'jobseeker', 'job-interviews', 'jobsearch', 'job-hunting']",951
31,dashvlas/awesome-ios-interview,"📲 The curated list of iOS Developer interview questions and answers, Swift & Objective-C",,"['ios', 'swift', 'developer-tools', 'interview-questions', 'objective-c', 'xcode', 'macos', 'interview-practice', 'interview-preparation', 'ios-interview', 'awesome-list', 'awesome-ios', 'ios-sdk', 'ios11', 'ios-swift', 'interview', 'interview-test-task', 'interview-answers']",843
32,onthecodepath/iOS-Interview-Questions,A curated list of iOS interview questions and answers,,"['objective-c', 'interview-questions', 'swift', 'ios', 'interview-practice']",630
33,kamyu104/LintCode,📝  C++11 Solutions of All 289 LintCode Problems (No More Updates),C++,"['lintcode', 'cpp', 'algorithm', 'data-structure', 'cpp11', 'interview-questions', 'interview-preparation', 'interview-practice']",596
34,rampatra/Algorithms-and-Data-Structures-in-Java,Algorithms and Data Structures in Java,Java,"['java', 'algorithm', 'interview', 'datastructures', 'data-structures', 'hackerrank', 'geeksforgeeks', 'interview-practice', 'interview-preparation', 'java-8', 'cracking-the-coding-interview', 'cracking-the-technical-interview', 'cracking-code-interview', 'coding-interview', 'algorithms', 'algorithms-and-data-structures', 'blockchain', 'blockchain-demo', 'blockchain-java', 'leetcode']",594
35,Just-A-Visitor/Algorithmic-Pseudocode,This repository contains the pseudocode(pdf) of various algorithms and data structures necessary for Interview Preparation and Competitive Coding,TeX,"['algorithms', 'pseudocode', 'data-structures', 'algorithms-and-data-structures', 'interview-questions', 'interview-preparation', 'leetcode', 'interviews', 'interview-practice', 'coding-interviews', 'latex', 'hacktoberfest']",588
36,alirezadir/machine-learning-interview-enlightener,This repo is meant to serve as a guide for Machine Learning/AI technical interviews. ,Jupyter Notebook,"['machine-learning', 'machine-learning-algorithms', 'ai', 'deep-learning', 'system-design', 'scalable-applications', 'interview', 'interview-preparation', 'interview-practice', 'interviews']",545
37,aershov24/full-stack-interview-questions,"🔴 More than ~3877 Full Stack, Coding & System Design Interview Questions And Answers sourced from all around the Internet to help you to prepare to an interview, conduct one, mock your lead dev or completely ignore. Find more questions and answers on 👉  ",,"['full-stack', 'full-stack-development', 'full-stack-web-developer', 'angular', 'react', 'vuejs', 'interview-questions', 'interview-practice', 'interview-preparation', 'interview-test']",505
38,omonimus1/competitive-programming,"My competitive programming guide,reading materials, link to system and design interview preparation and my own coding solutions from Codechef, Leetcode,Geeks for Geeks, HackerRank , spoj, codesignal, codebyte, codeblocks and other online judges",C++,"['algorithms-and-data-structures', 'cpp', 'algorithm', 'data-structures', 'tutorial', 'python', 'hackerrank-solutions', 'codechef-solutions', 'competitve-programming', 'competitive-programming-contests', 'geeksforgeeks-solutions', 'competitive-programming-notes', 'interview-practice', 'leetcode-solutions', 'leet', 'leetcode-cpp', 'interview-preparation']",480
39,stacygohyunsi/algorithms-primer,A consolidated collection of resources for you to learn and understand algorithms and data structures easily. ,,"['algorithm', 'data-structures', 'knapsack-problem', 'queues', 'stacks', 'greedy-algorithm', 'sort', 'sorting-algorithms', 'bubble-sort', 'linear-search', 'merge-sort', 'quicksort-algorithm', 'big-o', 'dynamic-programming', 'linked-list', 'interview-practice', 'interview-questions']",396
40,khan4019/angular-interview-questions,Most extensive Angular interview questions based on your level.,HTML,"['angular-interview-questions', 'angular', 'angular2', 'angular4', 'angular-material', 'interview-questions', 'interview-preparation', 'front-end-interview', 'interview-practice', 'angular-cli', 'angular-components', 'angular-material2']",361
41,karansaxena/STL_Cheat_Sheets,C++ STL Cheat Sheets.,,"['cpp', 'stl', 'coding', 'codechef', 'hackerearth', 'hackerrank', 'topcoder', 'codeforces', 'c', 'c-plus-plus', 'cheatsheet', 'cheat-sheets', 'lists', 'interview', 'interview-preparation', 'interview-practice', 'interviewbit', 'leetcode']",360
42,sid24rane/System-Design-Interview-Questions,"A curated list of System Design interview questions for SDE-1 (Experienced),SDE-2 and above.",,"['interview', 'interview-preparation', 'interview-questions', 'interview-practice', 'system-design', 'system-design-questions']",353
43,DivyaGodayal/CoderChef-Kitchen,"The official repository for our programming kitchen which consists of 50+ delicious programming recipes having all the interesting ingredients ranging from dynamic programming, graph theory, linked lists and much more. All the articles contain beautiful images and some gif/video at times to help clear important concepts.",Python,"['leetcode', 'programming', 'python', 'java', 'interview-questions', 'interview-practice', 'interview-preparation', 'interview', 'editorial', 'blogging', 'datastructure', 'algorithm', 'dynamic-programming', 'greedy-algorithms', 'linked-list', 'graph', 'trees', 'string', '100daysofcode', 'codenewbie']",338
44,JiayangWu/LeetCode-Python,LeetCode solutions in Python2. LeetCode题解 in Python2。,Python,"['leetcode', 'leetcode-solutions', 'python2', 'chinese', 'interview-questions', 'interview-questions-solved', 'interview-preparation', 'interview-practice', 'algorithm-challenges', 'algorithms', 'leetcode-python', 'leetcode-practice']",295
45,brndnmtthws/cracking-the-coding-interview-rust,Cracking the Coding Interview problem solutions in Rust,Rust,"['cracking-the-coding-interview', 'interview-questions', 'interview-practice', 'rust', 'rust-lang', 'twitch', 'youtube', 'learn-to-code']",277
46,warycat/rustgym,"Leetcode Solutions in Rust, Advent of Code Solutions in Rust and more",Rust,"['leetcode', 'rust', 'solutions', 'macros', 'leetcode-rust', 'algorithm', 'interview', 'interview-questions', 'interview-preparation', 'interview-practice', 'trie', 'leetcode-solutions', 'graph', 'tutorial', 'hackerrank', 'hackerrank-solutions', 'advent-of-code']",248
47,MahdiMashrur/Awesome-Coding-Interview-Question-Patterns,The most common question-patterns for any coding-interview,,"['interview-questions', 'coding-interviews', 'interview-preparation', 'interview-practice', 'patterns', 'cheatsheet', 'algorithms', 'data-structures', 'algorithms-and-data-structures', 'awesome', 'awesome-list', 'awesome-lists', 'awesome-interview-questions', 'interview-prep', 'software-engineering', 'interview', 'interview-test', 'google-interview', 'amazon-interview']",238
48,n3a9/google-foobar,My Google Foo Bar Challenges 🤓 🧮,Java,"['google', 'foobar', 'interview-practice', 'interview-questions']",229
49,AlgorithmCrackers/Interview-Questions,List of all the Interview questions practiced from online resources and books,Java,"['interview-questions', 'interview-preparation', 'interview-practice', 'interviews', 'interview', 'data-structures', 'datastructures', 'algorithm', 'algorithm-challenges', 'linked-list', 'stack', 'queue', 'tree', 'graph', 'oop', 'sorting-algorithms', 'sort']",223
50,thundergolfer/interview-with-python,The ultimate in python interview preparation and coding practice.,Python,"['study-aid', 'problem-solving', 'interview-practice', 'interviewing']",183
51,Java-aid/Interview-Preparations,This repository contains coding assessments and their solutions for various IT companies,Java,"['javaaid', 'interview-questions', 'hackerrank', 'hackerrank-test', 'online-test', 'interview-practice', 'interview-prep', 'kanahaiya', 'kanhaiya', 'java-aid', 'solutions', 'questions', 'hackerearth', 'coding-interviews', 'interview-preparation', 'java', 'github', 'techgig', 'goldmansachs', 'solution']",170
52,harryttd/Cracking-the-Coding-Interview-Javascript-Solutions-CTCI,Javascript solutions to Cracking the Coding Interview (CTCI),JavaScript,"['cracking-the-coding-interview', 'ctci', 'interview-questions', 'interview-practice', 'interview-prep', 'javascript', 'mocha', 'chai', 'es6', 'tdd', 'js', 'interviewing']",158
53,lesywix/oh-my-python,剑指offer（python版）/ 算法图解 / python基础 / 数据结构,Python,"['python', 'algorithm', 'data-structures', 'interview-practice']",157
54,gdutxiaoxu/AndroidGuide,「Android学习+面试指南」一份涵盖大部分 Android 程序员所需要掌握的核心知识。准备 Android 面试，首选 AndroidGuide！公众号程序员徐公,,"['interview-questions', 'interview', 'interview-practice', 'android', 'android-notes', 'android-learning']",150
55,srsandy/Data-Structures-and-Algorithms-in-Java-2nd-Edition-by-Robert-Lafore,Solutions of Data Structures and Algorithms in Java 2nd Edition by Robert Lafore. Adding practice problems and solutions.,Java,"['algorithm', 'java', 'data-structures', 'algorithm-challenges', 'linked-list', 'array', 'stack', 'queues', 'sorting-algorithms', 'recursion', 'programming-practices', 'robert-lafore', 'graphs', 'shell-sort', 'interview-questions', 'interview-practice', 'interview-preparation', 'interview-test', 'hacktoberfest', 'programming-practice']",149
56,rongweihe/CS_Offer,后台开发基础知识总结（春招/秋招）,,"['interview', 'cpp', 'programming-language', 'datastructures', 'algorithms', 'mysql', 'computer-science', 'linux', 'os', 'operating-system', 'interview-questions', 'interview-project', 'interview-practice']",146
57,samgh/Byte-by-Byte-Solutions,Coding interview questions and solutions,Java,"['interview-questions', 'interview-practice', 'interview', 'interview-prep', 'cracking-the-coding-interview', 'leetcode', 'bytebybyte']",144
58,rongweihe/CPPNotes,【C++ 面试 + C++ 学习指南】 一份涵盖大部分 C++ 程序员所需要掌握的核心知识。,C++,"['cpp', 'pdf', 'code', 'guide', 'interview', 'interview-practice', 'interview-questions', 'question-answering', 'questions-and-answers', 'interview-preparation', 'data-structures-and-algorithms', 'linux']",144
59,r1cc4rdo/daily_coding_problem,Solutions to https://dailycodingproblem.com,Python,"['interview-questions', 'interview-preparation', 'interview-practice', 'coding-interviews', 'coding-challenges', 'daily-coding-problem', 'dailycodingproblem']",140
60,javadhme/android-interview-questions,"Android interview questions with answers. This repo is suitable for an interviewer, interviewee, and for everyone who wants to improve their knowledge skills about android topics.",,"['android-interview', 'android-interview-practice', 'android-interview-question', 'android-interviews', 'interview-questions', 'interview-preparation', 'interview-practice', 'interview-prep']",138
61,yubinbai/leetcode, Solutions to Leetcode Online Judge,Java,"['interview', 'interview-practice']",125
62,kumaransg/LLD,"Curated Collection of all Low level design Questions and implementation asked in major Tech companies , Get yourself prepared for the LLD round and ace the interview.",Java,"['low-level-design', 'machine-coding', 'object-oriented-design', 'object-oriented-programming', 'lld', 'interview-preparation', 'system-design', 'low-level-design-problems', 'interview-practice']",111
63,shihsyun/codility_lessons,Codility Lesson1~Lesson17 100% solutions with Python3  除正確解答外comment裡有解題的思考過程,Python,"['python', 'python3', 'py3', 'algorithms', 'algorithms-datastructures', 'algorithm-challenge', 'coding-challenge', 'coding-interviews', 'codility-lessons-exercises', 'codility-python', 'interview', 'interview-questions', 'interview-practice', 'interview-test']",102
64,oleg-koval/counter-interview.dev,a collaborative collection of interview questions collected from both sides of the game: Interviewer(s) and Interviewee.,CSS,"['interview', 'interview-questions', 'interview-practice', 'interviews', 'interview-preparation', 'work', 'jobsearch', 'jobseeker', 'interviewer', 'interviewee', 'collaborative', 'collaborative-research', 'collaborative-project', 'collection', 'awesome', 'awesome-list', 'collaborative-editing', 'collaborative-learning', 'collaborative-writing', 'hacktoberfest']",101
65,DenisLitvin/iOS-Interview,📚 Comprehensive list of questions and problems to pass an interview for the iOS Developer position,Swift,"['interview', 'interview-preparation', 'interview-practice', 'interview-questions', 'ios-interview', 'swift', 'objcective-c', 'interview-test']",97
66,Gauthamjm007/Backend-NodeJS-Golang-Interview_QA,A collection of Node JS and Golang Backend interview questions please feel free to fork and contribute to this repository,JavaScript,"['node-js', 'callback-hells', 'interview-questions', 'interview-practice', 'questions-and-answers', 'expressjs', 'mongodb', 'express-js', 'mongoose', 'golang', 'go']",93
67,yanglr/leetcode-ac,:octocat: leetcode-ac | LeetCode AC solutions | LeetCode+剑指offer+程序员面试金典careerup(cc189),C++,"['leetcode', 'algorithm', 'leetcode-ac', 'datastructures-algorithms', 'cpp11', 'easy-to-understand', 'modern-cpp', 'leetcode-solutions', 'leetcode-java', 'leetcode-csharp', 'leetcode-python3', 'interview-practice', 'interview-questions', 'interview-preparation', 'leetcode-problems-solutions', 'leetcode-problems', 'awesome-leetcode', '91algo', 'leetcode-solutions-csharp']",88
68,charulagrl/data-structures-and-algorithms,Python implementation of common algorithms and data structures interview questions,Python,"['algorithms', 'datastructures', 'data-structures', 'interview-questions', 'interview-practice']",87
69,mohammedjasam/Technical-Interview-Guide,My learning material for technical interviews!,C++,"['algorithms', 'data-structures', 'coding', 'competitive-programming', 'company-profile', 'java', 'interview', 'interview-questions', 'interview-practice', 'interview-preparation', 'book-solutions', 'cracking-the-coding-interview', 'introduction-to-algorithms', 'interview-prep', 'interviews', 'coding-challenge', 'coding-interviews', 'coding-challenges']",87
70,sunil12738/frontend-developer-interview-questions,"A list of helpful frontend related interview questions you can use to test yourself, prepare for interviews etc.",,"['interview-questions', 'interview-practice', 'javascript', 'javascript-interview-questions', 'frontend-interview-questions', 'html-css-javascript', 'html-interview-questions', 'react-interview-questions']",81
71,usmanovs/Salesforce-Interview-Handbook,🌐 Project to help aspiring Salesforce professionals land their dream job!,,"['salesforce', 'salesforce-developers', 'interview-questions', 'interview-practice', 'interview-preparation', 'salesforce-apex']",79
72,luceCoding/Programming-Interview-Questions-in-Python,Python programming interview questions.,,"['python', 'leetcode', 'leetcode-python', 'interview-questions', 'interview-practice', 'interview-preparation', 'python-interview-questions', 'python3']",70
73,Kirchhoff-/Android-Interview-Questions,The curated list of Android Developer interview questions and answers,,"['android', 'java', 'kotlin', 'android-interview-practice', 'android-interview-questions', 'android-interview', 'interview-practice', 'interview-preparation', 'interview', 'interview-questions', 'rxjava', 'rxandroid']",68
74,proyecto26/TheJobInterviewGuide,A job guide to help developers get through interviews and get amazing jobs!,,"['interview', 'interview-questions', 'interview-preparation', 'interview-practice', 'interview-prep', 'interviewing', 'interviews', 'guide', 'interview-guide', 'coding-interviews', 'coding-challenges', 'data-structures', 'computer-science', 'javascript-interview-questions', 'frontend-interview', 'system-design-interview', 'system-design-questions', 'behavioral-interviews', 'job-interviews', 'job-interview-challenges']",64
75,jisungbin/Android-Interview-Study-2022,🤓 2021~ 안드로이드 취직 대비 면접 공부 기록터 📖,,"['programming-study', 'interview', 'interview-questions', 'interview-practice', 'android', 'sungbin']",62
76,SaadAAkash/Android-Interview-Essentials,"💼📝⚡️Mobile App Developer Interviews Q&A Cheat Sheet - An awesome curation of Q&A, code examples, resources - categorized based on expertise (Continuously Updating..) ",,"['kotlin', 'kotlin-android', 'android', 'viewmodel', 'mvvm', 'android-interview-questions', 'android-interview-practice', 'android-interviews', 'android-interview', 'interview-questions', 'interview', 'flutter', 'androidx', 'java', 'android-architecture-components', 'android-development', 'interview-practice', 'interview-preparation']",61
77,surajr/CodingInterview,"Solutions to Leetcode, CareerCup Coding problems",Java,"['leetcode-java', 'leetcode', 'leetcode-solutions', 'careercup', 'coding-interviews', 'interview-questions', 'interview-practice', 'technical-coding-interview', 'technical-interviews']",59
78,WebPredict/angular-2-interview-questions,Angular 2+ Interview Questions... And Answers!,,"['angular', 'angular2', 'angular-framework', 'interview-questions', 'interview-practice']",55
79,kiwidamien/SQL_practice,A collection of SQL practice problems for interviews,Python,"['interview-practice', 'sql']",51
80,sachin-duhan26/COMPETITVE-PROGRAMMING,"Competitive programming is a mind sport usually held over the Internet or a local network, involving participants trying to program according to provided specifications. This repo contains the Detailed Explanation and implementation of Various Coding problems on various platforms in C++",C++,"['c-plus-plus', 'data-structures-and-algorithms', 'stl', 'competitive-programming', 'problem-solving', 'interview-questions', 'interview-practice', 'leetcode-solutions', 'leetcode-cpp', 'leetcode-practice', 'leetcode-questions', 'codeche', 'codechef-solutions', 'a2oj', 'algorithms', 'codeforces-solutions', 'geeksforgeeks', 'geeksforgeeks-solutions', 'interviewbit', 'interviewbit-solutions']",49
81,apoterenko/javascript-interview-questions,Essential JavaScript Interview Questions,,"['javascript', 'interview-practice', 'interview']",48
82,akashmodak97/Competitive-Coding-and-Interview-Problems,"This repo contains some problem solutions from different popular coding platforms like Code Chef, Leet Code, Hacker Blocks,etc.",C++,"['competitive-programming', 'competitive-coding', 'interview-questions', 'interview-preparation', 'cplusplus', 'programming', 'leetcode-solutions', 'leetcode-cpp', 'codechef-solutions', 'codechef', 'hackerblocks', 'hackerrank', 'hackerrank-solutions', 'backtracking-algorithm', 'interview-practice', 'interview-prep', 'cplusplus-11', 'interviewbit', 'interviewbit-solutions', 'spoj-solutions']",46
83,revpwn/JobInterviewAlgorithms,A directory of classic algorithms that you will find when interviewing for software engineering jobs.,C++,"['algorithm', 'jobs', 'engineering-jobs', 'interview-practice']",46
84,keep-practicing/leetcode-go,✏️ Golang solution for leetcode algorithm problems 📚(continually updating 💪 😃).,Go,"['leetcode-solutions', 'leetcode-go', 'leetcode-golang', 'leetcode', 'leetcode-practice', 'leetcode-questions', 'algorithms', 'interview-practice', 'interview-questions', 'interview', 'sorted-arrays']",45
85,dheeraj-2000/dsalgo,"Contains Algorithms useful for interview preparation, various practice problems of Arrays, Stacks, queue etc.  Contributors are Welcome but, DO NOT MAKE THIS REPO ACT LIKE A SOURCE OF +1.",C++,"['algorithms', 'firstpullrequest', 'interview-practice', 'arrays', 'hacktoberfest', 'hacktoberfest2021']",44
86,NirmalSilwal/Data-Structure-and-Algorithm-Java-interview-kit,This repo has various data structures and algorithms implementations and problems around that for preparing the coding interviews. 🚀 👨‍💻💻 🚩 ,Java,"['java', 'data-structures', 'algorithm', 'problem-solving', 'interview-preparation', 'interview-prep', 'interview-practice', 'coding-blocks', 'coding-interviews', 'coding', 'programming', 'leetcode', 'leetcode-java', 'interview-preparation-resources', 'geeksforgeeks', 'java-data-structure', 'algorithms-implemented', 'codeforces', 'codechef']",41
87,BarstoolSports/fullstack-challenge,Barstool Fullstack Interview Challenge,HTML,"['nodejs', 'react', 'mongodb', 'expressjs', 'interview-questions', 'interview-practice']",40
88,algoholics-ntua/algorithms,Resources for reading & solved problems ,C++,"['algorithms', 'data-structures', 'ioi', 'icpc', 'algorithms-implemented', 'interview-practice', 'interview-preparation', 'hackerrank', 'hackerrank-solutions', 'spoj', 'geeksforgeeks', 'codechef']",40
89,adityaarakeri/Interview-solved, 🌴 Solutions to few of the interview coding challenges in Python 🐍,Python,"['interview-practice', 'solved', 'hacktoberfest', 'hacktoberfest2020']",39
90,bezzad/foobar.withgoogle,My Google Foo Bar Challenges,Python,"['google', 'foobar', 'interview-practice', 'interview-questions', 'challenges']",38
91,LearnTeachCode/algorithms-group,"Resources and notes for the algorithms study group with Learn Teach Code (Created by @ThuyNT13, @mtroiani, @LearningNerd, @nurarenke and @loorinm)",JavaScript,"['algorithms', 'data-structures', 'interview-practice', 'tech-interviews']",38
92,Egolper/beginners-tech-interview,CS 면접 및 인성면접 준비자료입니다,JavaScript,"['interview-practice', 'interview-questions']",37
93,ryanmcdermott/katas,:school: Coding katas,C++,"['kata', 'algorithms', 'data-structures', 'cpp', 'interview-questions', 'interview-practice', 'interview-preparation']",37
